id,total_correct,switches,n_clusters,mean_cluster_size,unknown_words,source_file
1,2,1,0,0.0,hospitalworker,HC_Cleaned_Responses_jobs.csv
6,9,7,1,1.0,"careworker, estateagent, tvpresenter, fieldcommander",HC_Cleaned_Responses_jobs.csv
7,6,5,0,0.0,"veterinarian, ambulancedriver, policeofficer, runner",HC_Cleaned_Responses_jobs.csv
13,8,7,0,0.0,veterinarian,HC_Cleaned_Responses_jobs.csv
14,8,7,0,0.0,"engineer, sculptor, officeworker, taxidriver, windowcleaner",HC_Cleaned_Responses_jobs.csv
17,8,7,0,0.0,"zookeeper, childminder, policeofficer, firefighter",HC_Cleaned_Responses_jobs.csv
18,7,5,1,1.0,"windowcleaner, shopworker, hospitalworker",HC_Cleaned_Responses_jobs.csv
20,7,6,0,0.0,"veterinarian, diver, archaeologist",HC_Cleaned_Responses_jobs.csv
21,13,11,1,1.0,"policeofficer, weddingplanner, archaeologist, photographer",HC_Cleaned_Responses_jobs.csv
23,4,3,0,0.0,"formulaoneracer, policeofficer, inspector",HC_Cleaned_Responses_jobs.csv
25,6,4,1,1.0,physiotherapist,HC_Cleaned_Responses_jobs.csv
26,11,8,2,1.0,"engineer, teachingassistant, nurseryteacher",HC_Cleaned_Responses_jobs.csv
31,14,8,4,1.25,"racecardriver, shopworker",HC_Cleaned_Responses_jobs.csv
33,11,10,0,0.0,"formulaoneracer, tennisplayer, cricketer, landlord",HC_Cleaned_Responses_jobs.csv
35,9,8,0,0.0,"teachingassistant, decorator, shopmager, engineer, runner",HC_Cleaned_Responses_jobs.csv
39,13,12,0,0.0,"football, rugbyplayer, basketballplayer, shopkeeper, postman, deliverydriver, physicaleducationteacher, coach, firefighter",HC_Cleaned_Responses_jobs.csv
40,11,9,1,1.0,"runner, lawyer, entrepreneur, policeofficer, firefighter",HC_Cleaned_Responses_jobs.csv
43,8,6,1,1.0,"physiotherapist, balletteacher, gymnasticsteacher, deputyhead",HC_Cleaned_Responses_jobs.csv
49,7,6,0,0.0,"veterinarian, shopkeeper, butcher",HC_Cleaned_Responses_jobs.csv
55,5,2,1,2.0,policeofficer,HC_Cleaned_Responses_jobs.csv
56,12,10,1,1.0,"policeofficer, housekeeper, servant, workman, constructionworker, barber",HC_Cleaned_Responses_jobs.csv
59,2,1,0,0.0,,HC_Cleaned_Responses_jobs.csv
